PCON24CD,damage_cost_central,damage_cost_low,damage_cost_high
E14001434,70132.5,7481,249244
E14001435,70132.5,7481,249244
E14001436,29426.65,3545.9999999999995,103408.66071428571
E14001437,28340.406000000003,3441.1200000000003,99516.69928571429
E14001438,30017,3603,105523.85714285714
E14001439,20618.628,2695.56,71849.93
E14001440,25435.884,3160.6799999999994,89109.93285714285
E14001441,27065.25,3318,94947.875
E14001442,29521.106000000003,3555.1200000000003,103747.09214285716
E14001443,19744.91,2611.2,68719.43928571428
E14001444,15022.11,2155.2,51797.86785714286
E14001445,70132.5,7481,249244
E14001446,29851.702,3587.04,104931.60214285714
E14001447,22791.116,2905.3200000000006,79633.85285714286
E14001448,70132.5,7481,249244
E14001449,20689.47,2702.4,72103.75357142856
E14001450,27513.916,3361.3199999999997,96555.4242857143
E14001451,24326.025999999998,3053.52,85133.36357142856
E14001452,29048.826000000005,3509.52,102054.93500000001
E14001453,26592.97,3272.4,93255.71785714285
E14001454,70132.5,7481,249244
E14001455,23995.43,3021.6000000000004,83948.85357142857
E14001456,29450.264,3548.2799999999997,103493.26857142856
E14001457,18398.912,2481.2400000000002,63896.79142857143
E14001458,16887.616,2335.32,58481.88857142857
E14001459,30017,3603,105523.85714285714
E14001460,18564.21,2497.2,64489.04642857143
E14001461,24727.464,3092.2799999999997,86571.69714285713
E14001462,24680.236,3087.7200000000003,86402.48142857144
E14001313,30017,3603,105523.85714285714
E14001314,29898.93,3591.6,105100.81785714286
E14001315,30017,3603,105523.85714285714
E14001316,26026.234,3217.68,91225.12928571428
E14001317,30017,3603,105523.85714285714
E14001318,19485.156,2586.12,67788.75285714286
E14001319,30017,3603,105523.85714285714
E14001320,28883.528000000002,3493.56,101462.68000000001
E14001321,29993.386000000002,3600.7200000000003,105439.2492857143
E14001322,28104.266,3418.32,98670.62071428572
E14001323,30017,3603,105523.85714285714
E14001324,29450.264,3548.2799999999997,103493.26857142856
E14001325,29946.158,3596.16,105270.03357142858
E14001326,30017,3603,105523.85714285714
E14001327,30017,3603,105523.85714285714
E14001328,29875.316000000006,3589.3200000000006,105016.21
E14001329,29190.51,3523.2,102562.58214285714
E14001330,25459.498,3162.96,89194.54071428571
E14001331,70132.5,7481,249244
E14001332,70132.5,7481,249244
E14001333,70132.5,7481,249244
E14001334,70132.5,7481,249244
E14001335,22838.343999999997,2909.8799999999997,79803.06857142856
E14001336,28127.88,3420.6000000000004,98755.22857142858
E14001337,30017,3603,105523.85714285714
